NOBLE,1,2.26,0.690,3.28,,,3.70,1.37,0.45,5.02,18.30,118.846,6.71,14.35,10.86,11.06,2.63,"3,094.88",2.26,"3,736",846,0.00,77.778,-3.704,-70.695,0.892,14.376,7.134,9.702,0.905,1.725,1.310,2.158,280.431,0.377,149202.000,2.617,,59.974,6678.708,0.536,953.367,14.275,0.696,3.246,3.359,18.210,13.189,3.912,61.538,0.427,1.779,51.620,,68.602,5.800,3.460,-32.414,13.295,5.550,-29.369,3.920,9.170,20277.340,0.104,0.414,1.000,1369.414,1750.721,944.433,566.414,11-03-25,07-05-25,27-05-25,0.104,4.602,1.000,0.189,8.363,30-09-25,3,921.251,5298.043,14455.165,970.877,21645.336,501.404,162.179,2627.507,24936.426,5475.203,3239.241,445.016,9159.460,8901.638,18061.098,0.000,1369.414,5357.150,6872.517,5009.031,0.000,1454.462,6463.493,4396.772,801.460,95.631,5293.863,1169.630,291.006,176.017,715.025,-12.418,0.696,0.690,0.000,0.502,-0.043,0.063,120.318,0.000,929.205,-42.051,-2.112,-119.014,-1049.587,921.251,944.433,944.433,431.552,910.432,454.940,931.780,1878.303,3071.218,986.978,2043.672,,118.846,-52.599,100.121,-51.175,-50.392,-38.842,211.174,-51.706,0.690,0.690,0.315,0.665,0.330,0.680,1.370,2.243,0.720,1.493,0.497,-0.340,0.120,0.237,0.237,0.253,0.730,0.340,18.302,19.149,7.000,10.179,3.604,6.992,19.355,45.122,48.592,1.197,1.467,0.000,0.943,2.857,4.959,5.357,8.036,9.000,6.709,6.709,4.240,6.859,4.475,7.201,12.791,17.236,6.009,12.171,4.871,-2.006,1.818,3.433,3.745,4.991,14.911,7.795,0.000,58.226,-38.185,53.291,-37.863,-43.699,-25.791,186.842,-50.631,149.854,342.792,-210.376,-47.049,-8.333,-24.969,-66.526,91.299,14.346,14.346,6.772,14.694,7.866,16.220,33.123,45.748,13.685,37.469,16.659,-11.649,3.834,7.781,8.188,9.094,26.338,12.633,0.000,111.837,-53.910,86.813,-51.507,-51.031,-27.598,234.286,-63.476,124.921,243.002,-403.843,-50.727,-4.972,-9.962,-65.471,108.479,#DIV/0!,#DIV/0!,1.161,10.919,"Thursday, June 12, 1997",19.149,3.604,9.385,#N/A,NOBLE ปิด 2.26 P/E 3.28 Chg% -29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,0.5,8.70,0.448,19.43,,,,2.38,1.15,7.54,2.06,-69.202,4.65,5.54,0.90,2.35,2.38,"1,478.56",8.70,0,0,0.00,47.368,-8.020,-100.000,0.227,12.507,6.558,11.855,0.518,-3.396,-2.562,0.404,30.557,111.721,300.000,-13.260,,40.000,597.926,0.277,16.531,2.765,0.097,89.441,2.787,25.446,17.908,3.894,53.846,24.679,1.084,24.890,,49.697,12.800,9.900,-15.625,9.091,11.300,-4.425,10.800,1.790,158.930,0.000,0.179,0.500,169.949,181.852,76.091,30.437,24-02-25,,,0.000,0.000,0.000,0.000,0.000,30-09-25,3,530.454,93.336,7.990,158.096,789.876,0.000,1762.015,1772.609,4324.500,364.427,103.996,8.594,477.017,2566.386,3043.403,0.000,84.975,661.704,1281.094,448.445,0.000,79.718,528.163,334.736,54.552,0.000,389.288,138.875,106.232,20.244,12.398,0.001,0.097,0.448,0.000,0.160,0.180,-0.017,221.940,0.000,66.058,-253.119,-13.234,-346.052,506.740,530.454,76.091,76.091,247.067,297.715,240.300,114.288,-128.955,-5.350,23.070,61.435,,-69.202,-17.012,23.893,110.257,188.627,-2310.559,-123.189,-62.449,0.448,0.448,1.590,1.750,1.430,0.840,-21.492,-0.045,0.192,0.512,-0.311,-0.537,-0.067,-0.122,0.923,0.463,0.660,0.892,2.059,1.926,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,14.493,1.942,1.802,6.688,4.887,6.286,12.928,4.646,4.646,-1.969,-0.602,16.238,3.874,-7.520,-0.205,2.613,6.898,0.000,-6.416,-0.842,-1.211,12.995,7.456,9.768,10.329,0.000,335.898,-227.339,-103.705,319.217,151.510,"-3,566.379",-107.851,-62.128,,,-661.826,30.456,-109.319,74.304,-23.675,-5.427,5.540,5.540,14.940,16.617,17.503,13.355,-16.703,-0.635,2.761,7.722,-4.407,-6.689,-0.793,-1.399,10.764,5.657,8.254,11.865,0.000,-62.916,-10.092,-5.066,31.066,179.956,"-2,530.069",-123.001,-64.244,275.238,34.124,-743.713,43.344,-113.000,90.264,-31.456,-30.437,#DIV/0!,#DIV/0!,-0.516,13.650,"Monday, January 25, 1993",1.926,0.000,0.385,#N/A,NOVA ปิด 8.7 P/E 19.43 Chg% -4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPK,10,12.60,2.404,5.24,,,,4.04,0.28,44.75,7.63,363.481,6.96,5.56,6.80,13.75,0.19,126.00,12.60,0,0,0.00,100.000,9.524,-100.000,1.754,-0.495,-1.348,-12.017,-0.141,0.691,18.229,2.240,83.381,3.325,0.000,14.216,,40.000,282.259,1.044,39.247,13.905,3.925,3.210,2.974,54.090,8.483,22.090,100.000,20.000,2.825,23.400,,61.127,29.500,10.100,-42.712,67.327,15.400,9.740,16.900,0.000,1.540,0.000,0.962,10.000,10.000,36.439,24.041,9.617,04-03-25,,,0.000,0.000,0.000,0.000,0.000,30-09-25,3,42.370,78.031,69.255,37.338,226.993,23.862,276.650,13.399,540.904,26.062,19.864,1.873,47.800,37.032,84.832,0.000,100.000,220.904,447.477,211.694,0.000,2.404,214.098,170.496,16.783,0.000,187.279,26.820,1.407,-5.642,29.435,1.619,3.925,2.404,0.000,0.938,1.333,0.670,3.963,0.000,-1.060,-7.410,0.000,-7.190,9.915,42.370,24.041,24.041,-9.125,-8.511,-18.988,-19.307,9.512,14.454,35.432,31.431,,363.481,-7.205,55.176,1.653,-302.973,-34.190,-59.207,12.731,2.404,2.404,-0.912,-0.851,-1.899,-1.931,0.951,1.445,3.543,3.143,4.279,2.796,2.524,2.312,4.882,6.639,6.089,7.541,7.632,7.513,0.000,0.000,0.000,0.000,0.658,1.058,1.633,0.877,1.000,0.926,0.649,0.750,0.857,0.000,0.000,0.000,6.959,6.959,-0.624,-0.563,-0.331,-3.770,2.228,4.095,9.415,8.651,12.344,9.370,8.050,8.644,17.623,22.717,23.223,38.835,0.000,"1,214.863",-10.935,-69.852,91.214,-269.215,-45.589,-56.506,8.826,-29.913,31.735,16.401,-6.879,-50.949,-22.423,-2.178,-40.202,5.555,5.555,-2.145,-1.948,-4.432,-4.530,2.192,3.390,8.768,8.612,13.289,9.709,9.574,9.873,26.879,58.308,121.710,-412.666,0.000,358.967,-10.116,56.042,2.174,-306.710,-35.348,-61.337,1.803,-35.189,36.872,1.404,-3.028,-63.268,-53.902,-52.093,129.493,#DIV/0!,#DIV/0!,-0.126,-0.742,"Monday, October 17, 1988",7.513,0.000,1.503,#N/A,NPK ปิด 12.6 P/E 5.24 Chg% 9.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRF,1,0.26,-0.489,-0.53,,,,-0.67,0.15,1.74,0.00,-56.660,-16.00,-29.93,-8.12,-23.55,1.59,368.59,0.26,"7,165",187,-3.70,0.000,-6.061,-36.491,-1.017,1.309,8.933,17.420,0.268,-0.821,-0.317,10.029,37.981,6.930,1780500.000,-2.135,,0.000,3696.777,1.149,-504.368,-13.643,-0.356,-0.731,12.213,4.541,2.764,0.294,28.571,-0.840,-12.780,48.420,,17.977,6.750,4.880,-22.222,7.582,6.600,-20.455,5.250,11.850,6323.110,0.000,0.000,1.000,1417.657,-995.442,-692.987,0.000,18-03-25,,,0.000,0.000,0.000,0.000,0.000,31-03-25,1,30.181,384.773,455.412,21.311,891.677,1025.904,1121.199,3398.290,6437.070,876.697,644.161,321.999,1842.857,2075.863,3918.720,0.000,1417.657,417.290,2469.675,785.602,0.000,13.200,798.802,603.956,184.885,156.694,945.535,-146.733,39.448,5.410,-188.109,-3.482,-0.531,-0.489,0.000,0.000,0.000,-0.133,51.102,0.000,10.460,-20.639,0.090,-8.617,-26.087,30.181,-692.987,-692.987,-442.351,-56.555,285.224,220.784,124.391,40.751,95.547,0.000,,-56.660,-682.166,-119.828,29.187,77.491,205.248,-57.350,,-0.489,-0.489,-0.312,-0.040,0.201,0.156,0.110,0.040,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.458,0.513,0.717,0.000,0.000,0.000,,,,,,,,,-16.004,-16.004,-3.497,2.409,7.841,8.904,6.629,4.423,8.165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-357.717,-245.158,-69.281,-11.934,34.314,49.881,-45.833,,,,,,,,,,-29.925,-29.925,-17.528,-1.933,9.868,8.193,6.639,3.754,9.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-70.731,-806.669,-119.590,20.455,23.403,76.848,-60.781,,,,,,,,,,#DIV/0!,#DIV/0!,1.129,-9.879,"Friday, October 9, 2020",0.513,0.000,0.194,#N/A,NRF ปิด 0.26 P/E - .53 Chg% -20.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSL,1,22.60,2.030,11.13,,,35.30,2.98,3.33,6.79,4.48,12.553,24.36,31.03,23.55,8.93,0.62,"6,780.00",22.60,"3,896","8,801",-1.31,33.333,-9.877,-35.724,3.194,6.939,20.247,1.937,1.596,1.891,11.951,1.013,49.924,15.915,265700.000,1.104,,49.907,6871.374,4.140,616.227,8.968,2.054,11.002,37.220,11.066,4.181,3.030,37.931,-11.049,12.576,26.920,,49.127,26.000,17.500,-28.846,5.714,22.700,-18.502,18.500,26.160,20947.920,0.500,1.013,1.000,300.000,779.227,608.922,303.894,13-08-25,28-08-25,12-09-25,0.500,2.212,2.000,0.900,3.982,30-09-25,3,182.158,957.267,423.856,22.351,1585.631,0.000,1256.577,477.502,3319.710,197.129,822.786,42.049,1061.964,192.349,1254.313,0.000,300.000,908.857,2036.085,5153.530,0.000,20.680,5174.210,4442.139,144.706,0.000,4586.846,587.364,11.591,115.050,462.171,-1.447,2.054,2.030,0.000,0.422,0.548,0.571,116.078,0.000,359.064,-217.474,-1.348,-104.451,-299.956,182.158,608.922,608.922,541.008,333.477,297.597,191.111,151.414,156.278,0.000,0.000,,12.553,62.232,12.057,55.719,26.218,-3.112,,,2.030,2.030,1.803,1.112,0.992,0.701,0.676,0.919,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.482,4.385,2.857,3.514,2.434,2.688,0.000,0.000,0.000,,,,,,,,,,24.362,24.362,24.374,17.883,17.358,13.523,13.400,13.802,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.046,36.292,3.028,28.361,0.915,-2.914,,,,,,,,,,,31.027,31.027,31.374,22.489,22.392,22.394,32.627,33.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.108,39.513,0.433,-0.011,-31.363,-1.172,,,,,,,,,,,#DIV/0!,#DIV/0!,1.303,26.820,"Wednesday, May 19, 2021",4.385,2.434,3.176,#N/A,NSL ปิด 22.6 P/E 11.13 Chg% -18.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTF,0.5,5.15,0.379,13.58,,,,0.61,6.10,0.84,2.94,-17.417,21.92,52.82,201.79,9.56,3.34,721.00,5.15,"8,352","4,313",3.00,27.326,1.938,-1.181,4.524,0.318,24.784,4.302,0.064,1.648,3.125,3.896,32.095,374.422,0.000,0.139,,40.000,2808.926,10.952,270.391,9.626,1.931,2.667,53.401,3.664,2.820,0.287,57.009,30.716,7.827,0.000,,62.937,0.000,0.000,#DIV/0!,#DIV/0!,0.000,0.000,0.000,0.000,0.000,#N/A,0.152,0.500,140.000,81.175,53.080,21.232,#N/A,#N/A,#N/A,#N/A,#N/A,0.000,0.000,0.000,30-09-25,3,13.501,365.308,8.579,26.893,414.281,0.000,11.182,87.472,512.936,263.406,25.993,80.041,369.439,25.355,394.794,0.000,70.000,40.208,118.141,2106.694,0.000,15.451,2122.146,1812.455,44.828,0.000,1857.284,264.862,11.293,50.776,202.793,0.000,1.931,0.379,0.000,0.264,0.000,0.000,4.087,0.000,6.758,-10.000,-0.345,-10.220,11.670,13.501,53.080,53.080,64.274,22.619,0.000,0.000,0.000,0.000,0.000,0.000,,-17.417,184.165,,,,,,,0.379,0.379,0.459,0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.945,2.446,0.000,0.000,,,,,,,,,,,,,,,21.923,21.923,43.260,17.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-49.323,152.387,,,,,,,,,,,,,,,52.819,52.819,72.177,23.746,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-26.821,203.958,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#N/A,37.185,"Tuesday, December 16, 2025",2.446,0.000,0.815,#N/A,NTF ปิด 5.15 P/E 13.58 Chg%  .  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTSC,0.5,6.15,1.008,6.10,,,,1.39,0.75,8.24,5.64,43.903,13.14,12.68,8.74,10.03,0.21,820.00,6.15,"1,839","1,139",-1.60,0.000,-43.810,486.790,0.853,3.686,6.128,2.860,0.341,0.165,37.212,1.493,58.245,3.182,0.000,4.828,,34.409,1224.620,1.844,123.583,10.092,0.927,6.635,3.039,9.959,1.720,1.980,28.571,-16.883,7.192,18.770,,-1.102,44.000,12.900,-69.545,3.876,26.250,-48.952,13.400,0.000,0.000,0.327,0.347,0.500,133.334,171.948,134.432,46.256,20-02-25,13-03-25,23-05-25,0.327,5.312,1.000,0.320,5.203,30-09-25,3,269.809,183.834,314.188,105.336,873.167,0.000,123.863,330.876,1327.906,10.632,95.846,5.961,112.439,116.934,229.373,0.000,66.667,264.000,1098.526,918.465,0.000,5.981,924.446,697.073,108.618,0.000,805.691,118.755,2.657,23.410,92.687,0.001,0.927,1.008,0.000,0.258,0.232,0.210,13.584,0.000,34.079,-9.918,-0.030,-5.138,-18.517,269.809,134.432,134.432,93.419,69.555,77.063,98.787,90.564,0.000,0.000,0.000,,43.903,34.310,-9.743,-21.990,9.079,,,,1.008,1.008,0.930,0.710,1.040,2.350,2.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.641,5.687,3.497,2.090,0.000,0.000,0.000,,,,,,,,,,,,13.139,13.139,9.695,8.090,10.506,16.555,17.729,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.513,19.850,-23.000,-36.540,-6.618,,,,,,,,,,,,12.680,12.680,9.445,11.556,17.913,17.527,17.612,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.258,-18.270,-35.491,2.203,-0.480,,,,,,,,,,,,#DIV/0!,#DIV/0!,0.542,12.898,"Thursday, February 9, 2023",5.687,0.000,2.255,#N/A,NTSC ปิด 6.15 P/E 6.1  Chg% -48.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTV,1,22.60,1.750,12.91,,,,3.12,1.32,17.18,4.71,-22.382,11.18,10.17,7.54,11.56,0.13,"3,616.00",22.60,106,240,-1.31,42.857,-19.048,-8.463,0.853,21.726,18.878,0.623,3.253,0.336,67.335,0.652,40.636,31.119,6.000,6.263,,60.889,2358.928,1.515,276.983,11.742,1.731,13.055,3.431,19.469,2.293,14.846,47.059,6.150,3.860,34.850,,46.144,43.250,36.000,-15.029,2.083,40.500,-9.259,36.750,0.020,880.650,1.370,1.066,1.000,160.000,348.890,280.000,170.489,17-02-25,19-03-25,23-05-25,1.370,6.062,1.000,1.370,6.062,30-09-25,3,1053.953,261.500,51.530,1.947,1368.930,275.000,1307.493,163.643,3115.066,0.000,230.386,47.760,278.146,88.664,366.810,0.000,160.000,2375.408,2748.256,1769.196,0.000,27.533,1796.729,1290.292,243.637,3.531,1537.460,259.269,0.000,51.532,207.737,0.000,1.731,1.750,0.000,0.470,0.350,0.480,149.250,0.559,390.361,-182.113,-2.031,110.909,-219.200,1053.953,280.000,280.000,360.743,387.746,300.564,159.374,230.822,420.596,386.847,354.099,,-22.382,-6.964,29.006,88.590,-30.954,-45.120,8.724,9.248,1.750,1.750,2.250,2.420,1.879,0.996,1.443,2.629,2.418,2.213,1.984,1.864,1.659,1.508,1.537,1.017,1.215,1.106,4.715,4.633,4.492,3.973,2.825,1.569,2.047,3.224,2.655,2.498,2.380,2.800,3.333,3.808,3.647,4.811,5.448,5.774,11.178,11.178,14.675,16.751,14.147,7.718,10.932,21.170,21.235,21.065,20.629,21.466,19.948,19.239,23.780,19.636,23.368,22.220,0.000,-23.827,-12.392,18.408,83.295,-29.400,-48.361,-0.305,0.806,2.112,-3.900,7.615,3.683,-19.095,21.100,-15.967,5.167,10.166,10.166,13.374,15.310,12.915,7.202,10.426,19.735,19.921,20.059,19.673,20.269,19.801,19.606,22.244,15.993,20.251,20.118,0.000,-23.992,-12.644,18.549,79.330,-30.926,-47.170,-0.933,-0.690,1.963,-2.941,2.362,0.996,-11.861,39.088,-21.025,0.659,#DIV/0!,#DIV/0!,0.517,12.941,"Tuesday, August 16, 1994",4.633,1.569,3.498,#N/A,NTV ปิด 22.6 P/E 12.91 Chg% -9.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUT,0.5,3.70,0.746,4.96,,,,1.03,0.91,4.08,8.06,64.160,15.33,23.27,13.57,6.73,0.40,444.00,3.70,36,13,-1.07,13.043,-5.797,-88.615,0.484,10.728,22.152,1.495,0.925,-1.095,-3.378,2.325,20.502,6.990,0.000,2.728,,40.000,1032.162,3.014,69.560,6.739,0.580,6.383,1.237,5.708,1.629,1.472,28.571,-15.429,9.335,28.740,,45.553,0.000,0.000,#DIV/0!,#DIV/0!,6.800,0.000,6.800,0.000,0.000,0.350,0.298,0.500,120.000,90.441,89.504,35.802,11-08-25,26-08-25,05-09-25,0.350,9.459,1.000,0.000,0.000,30-09-25,3,358.851,47.603,116.358,0.000,522.813,0.000,49.305,112.838,684.956,0.000,78.102,31.573,109.675,85.803,195.478,0.000,60.000,176.627,489.478,774.122,0.000,1.618,775.739,600.901,107.860,0.000,708.761,66.978,4.169,10.639,52.170,0.000,0.580,0.746,0.000,0.070,0.162,0.348,33.015,0.000,83.225,-7.755,-0.815,-8.570,134.907,358.851,89.504,89.504,54.522,65.057,0.000,0.000,0.000,0.000,0.000,0.000,,64.160,-16.192,,,,,,,0.746,0.746,0.665,0.784,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.063,7.935,0.000,0.000,0.000,,,,,,,,,,,,,,15.327,15.327,15.322,17.931,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,-14.550,,,,,,,,,,,,,,,23.273,23.273,18.846,21.762,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.495,-13.400,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#N/A,15.970,"Wednesday, June 11, 2025",7.935,0.000,1.984,#N/A,NUT ปิด 3.7 P/E 4.96 Chg%  .  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,0.5,0.52,-0.092,-5.67,,,,-0.06,0.28,1.83,0.00,46.296,-4.68,-4.91,-4.20,-11.19,0.10,312.00,0.52,138,7,0.00,27.273,-3.030,-94.787,-0.183,-1.686,-0.668,-12.752,-0.016,0.003,178.309,1.730,28.059,2.641,0.000,0.799,,0.000,539.652,0.897,-62.748,-11.627,-0.105,-4.972,15.349,2.005,0.175,-0.337,37.500,0.463,-4.891,25.200,,42.367,3.140,1.440,-53.185,2.083,2.560,-42.578,1.470,0.000,1155.540,0.000,0.000,0.500,600.000,-57.596,-55.020,0.000,27-02-25,,,0.000,0.000,0.000,0.000,0.000,30-09-25,3,20.327,41.823,95.464,426.759,584.373,5.014,603.074,10.547,1203.008,8.038,60.796,17.317,86.151,18.708,104.859,0.000,300.000,-202.184,1098.149,404.739,0.000,15.651,420.390,199.974,256.996,9.577,466.547,-46.157,0.921,0.000,-47.061,-0.017,-0.105,-0.092,0.000,-0.043,-0.024,-0.016,20.092,0.000,-7.088,-2.409,-0.449,5.609,-6.644,20.327,-55.020,-55.020,-102.450,-67.804,-84.180,80.348,0.257,0.000,0.000,0.000,,46.296,-51.096,19.453,-204.769,31165.495,,,,-0.092,-0.092,-0.178,-0.116,-0.140,0.180,1.735,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.965,0.000,0.000,,,,,,,,,,,-4.681,-4.681,-7.592,-4.091,-5.149,5.990,85.567,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.339,-85.576,20.551,-185.968,-93.000,,,,,,,,,,,,-4.905,-4.905,-8.576,-5.165,-5.511,7.099,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.804,-66.027,6.272,-177.628,"16,196.570",,,,,,,,,,,,#DIV/0!,#DIV/0!,1.508,-6.039,"Friday, December 24, 2021",4.965,0.000,0.993,#N/A,NV ปิด 0.52 P/E -5.67 Chg% -42.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVD,1,0.80,0.053,15.11,,,,0.13,0.27,2.97,2.65,13.659,1.41,1.85,0.55,3.43,1.73,"1,481.52",0.80,"1,407",111,0.00,78.571,-2.381,1013.133,0.281,-17.364,-0.602,-105.410,-0.106,-0.273,-2.935,0.687,111.017,0.071,0.000,1.497,,40.000,1017.514,0.135,38.680,3.801,0.021,38.302,52.101,8.119,5.146,0.410,50.000,2.632,0.412,34.390,,56.368,2.480,1.840,-20.565,7.065,2.000,-1.500,1.970,0.000,1018.420,0.000,0.021,1.000,1851.902,211.060,98.053,39.221,20-02-25,,,0.000,0.000,0.000,0.000,0.000,30-09-25,3,28.435,313.547,11919.447,41.303,12302.733,1.646,251.453,2478.895,15034.726,3225.270,575.624,164.309,3965.204,5564.330,9529.534,0.000,1851.902,758.385,5505.071,763.135,0.000,82.536,845.671,629.045,103.114,5.461,737.620,108.051,53.757,25.284,29.010,0.000,0.021,0.053,0.000,0.026,-0.020,0.011,30.512,0.000,-146.844,-2.558,-0.029,-10.166,152.204,28.435,98.053,98.053,86.270,201.090,201.028,408.293,-51.043,28.430,276.884,223.489,,13.659,-57.099,0.031,-50.764,899.901,-279.538,-89.732,23.892,0.053,0.053,0.056,0.132,0.129,0.263,-0.033,0.019,0.179,0.156,-0.107,0.102,0.122,0.315,0.000,0.000,0.000,0.000,2.647,2.681,0.000,1.320,3.000,5.182,0.000,2.139,8.261,1.250,0.000,1.282,0.000,0.000,0.000,,,,1.406,1.406,1.426,2.544,3.190,6.223,1.270,1.695,3.727,3.708,-0.469,5.697,9.925,14.640,0.000,0.000,0.000,0.000,0.000,-1.440,-43.932,-20.256,-48.727,389.852,-25.065,-54.516,0.513,890.843,-108.230,-42.604,-32.207,,,,,1.851,1.851,1.703,3.979,4.043,8.741,-1.128,0.615,5.962,7.277,-1.753,6.492,9.640,25.662,0.000,0.000,0.000,0.000,0.000,8.688,-57.193,-1.584,-53.745,874.769,-283.548,-89.690,-18.073,515.011,-127.010,-32.659,-62.436,,,,,#DIV/0!,#DIV/0!,0.690,2.894,"Thursday, July 23, 2015",5.182,0.000,2.437,#N/A,NVD ปิด 0.8 P/E 15.11 Chg% -1.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWR,1,0.04,-0.728,-0.05,,,,-0.48,-0.05,-0.87,0.00,52.738,-11.30,ผู้ถือ<0,ผู้ถือ<0,1.50,-6.73,103.42,0.04,0,0,0.00,0.000,0.000,#DIV/0!,0.252,9.191,8.528,12.827,0.311,-0.425,-0.094,82.265,61.527,3.365,355600.000,-1.951,,0.000,8507.757,1.284,130.804,1.537,0.051,0.791,0.085,5.127,5.859,-2.385,100.000,0.000,-38.358,89.150,,66.667,0.860,0.330,-60.465,3.030,0.740,-54.054,0.340,15.490,4417.310,0.000,0.000,1.000,2585.482,-1564.310,-1882.714,0.000,27-02-25,,,0.000,0.000,0.000,0.000,0.000,30-09-25,3,1210.733,1330.877,2208.268,5352.626,10102.504,247.590,1741.083,1163.772,13254.949,3963.545,4382.241,3606.516,11952.302,3195.555,15147.857,0.000,2585.482,-6165.226,-2250.797,6380.818,0.000,175.229,6556.047,5787.889,389.356,-25.095,6152.150,403.897,264.385,18.730,98.103,22.679,0.051,-0.728,0.000,-0.058,-0.004,0.100,310.647,0.000,602.598,3.402,0.000,45.457,-606.987,1210.733,-1882.714,-1882.714,-3983.526,-1020.985,36.999,-768.339,-240.926,-515.224,418.041,-202.810,,52.738,-290.165,-2859.523,104.815,-218.911,53.239,-223.247,306.124,-0.728,-0.728,-1.541,-0.395,0.014,-0.297,-0.093,-0.199,0.162,-0.078,0.020,-0.067,0.004,0.031,0.347,0.062,0.026,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.195,0.000,0.000,0.000,0.000,0.000,6.250,0.000,0.000,0.000,-11.296,-11.296,-21.107,-2.905,2.091,-3.138,0.209,-2.197,5.259,0.291,2.328,0.026,1.614,2.652,9.636,3.735,4.600,4.291,0.000,46.480,-626.579,-238.906,166.639,"-1,599.262",109.527,-141.781,"1,709.554",-87.518,"8,743.045",-98.369,-39.160,-72.475,157.991,-18.800,7.203,81.847,81.847,"1,101.157",-51.194,1.606,-29.303,-7.705,-14.409,11.340,-5.651,1.417,-4.647,0.267,2.374,32.635,6.572,5.125,6.897,0.000,-92.567,"2,250.946","-3,288.635",105.479,-280.302,46.525,-227.060,300.665,-498.939,130.481,"-1,838.905",-88.744,-92.724,396.550,28.251,-25.699,#DIV/0!,#DIV/0!,1.170,283.354,"Wednesday, September 27, 1995",0.000,0.000,0.000,#N/A,NWR ปิด 0.04 P/E - .05 Chg% -54.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
